Data;Último;ibovespa;var_diaria_ibovespa;var_52_dias_ibovespa
01/11/2011;57.322,75;99,12;-1,74%;
03/11/2011;58.196,30;100,63;1,52%;
04/11/2011;58.669,92;101,45;0,81%;
07/11/2011;59.198,77;102,37;0,90%;
08/11/2011;59.026,13;102,07;-0,29%;
09/11/2011;57.549,74;99,52;-2,50%;
10/11/2011;57.321,81;99,12;-0,40%;
11/11/2011;58.546,97;101,24;2,14%;
14/11/2011;58.258,23;100,74;-0,49%;
16/11/2011;58.559,99;101,26;0,52%;
17/11/2011;56.988,90;98,55;-2,68%;
18/11/2011;56.731,34;98,10;-0,45%;
21/11/2011;56.284,59;97,33;-0,79%;
22/11/2011;55.878,44;96,63;-0,72%;
23/11/2011;54.972,08;95,06;-1,62%;
24/11/2011;55.279,88;95,59;0,56%;
25/11/2011;54.894,49;94,93;-0,70%;
28/11/2011;56.017,35;96,87;2,05%;
29/11/2011;55.299,76;95,63;-1,28%;
30/11/2011;56.874,98;98,35;2,85%;
01/12/2011;58.143,42;100,54;2,23%;
02/12/2011;57.885,85;100,10;-0,44%;
05/12/2011;58.910,48;101,87;1,77%;
06/12/2011;59.536,16;102,95;1,06%;
07/12/2011;58.662,83;101,44;-1,47%;
08/12/2011;57.455,02;99,35;-2,06%;
09/12/2011;58.236,46;100,70;1,36%;
12/12/2011;57.346,86;99,17;-1,53%;
13/12/2011;57.494,85;99,42;0,26%;
14/12/2011;56.646,87;97,96;-1,47%;
15/12/2011;56.331,15;97,41;-0,56%;
16/12/2011;56.096,93;97,00;-0,42%;
19/12/2011;55.298,33;95,62;-1,42%;
20/12/2011;56.864,85;98,33;2,83%;
21/12/2011;56.653,37;97,97;-0,37%;
22/12/2011;57.347,87;99,17;1,23%;
23/12/2011;57.701,07;99,78;0,62%;
26/12/2011;57.669,48;99,72;-0,05%;
27/12/2011;58.005,20;100,30;0,58%;
28/12/2011;56.533,76;97,76;-2,54%;
29/12/2011;56.754,08;98,14;0,39%;
02/01/2012;57.829,27;100,00;1,89%;
03/01/2012;59.264,87;102,48;2,48%;
04/01/2012;59.364,95;102,66;0,17%;
