date;fechamento;ibovespa;var_mensal_ibovespa;acum_ano_ibovespa;acum_12_ibovespa;acum_24_ibovespa;acum_48_ibovespa
nov/11;56.875,00;90,17;-2,51%;;;;
dez/11;56.754,10;89,98;-0,21%;;;;
jan/12;63.072,30;100,00;11,13%;11,13%;;;
fev/12;65.811,70;104,34;4,34%;15,96%;;;
mar/12;64.511,00;102,28;-1,98%;13,67%;;;
abr/12;61.820,30;98,01;-4,17%;8,93%;;;
mai/12;54.490,40;86,39;-11,86%;-3,99%;;;
jun/12;54.354,60;86,18;-0,25%;-4,23%;;;
jul/12;56.097,10;88,94;3,21%;-1,16%;;;
ago/12;57.061,50;90,47;1,72%;0,54%;;;
set/12;59.175,90;93,82;3,71%;4,27%;;;
out/12;57.068,20;90,48;-3,56%;0,55%;;;
nov/12;57.474,60;91,12;0,71%;1,27%;;;
dez/12;60.952,10;96,64;6,05%;7,40%;;;
jan/13;59.761,50;94,75;-1,95%;-1,95%;-5,25%;;
fev/13;57.424,30;91,05;-3,91%;-5,79%;-12,74%;;
mar/13;56.352,10;89,35;-1,87%;-7,55%;-12,65%;;
abr/13;55.910,40;88,64;-0,78%;-8,27%;-9,56%;;
mai/13;53.506,10;84,83;-4,30%;-12,22%;-1,81%;;
jun/13;47.457,10;75,24;-11,31%;-22,14%;-12,69%;;
jul/13;48.234,50;76,47;1,64%;-20,86%;-14,02%;;
ago/13;50.011,80;79,29;3,68%;-17,95%;-12,35%;;
set/13;52.338,20;82,98;4,65%;-14,13%;-11,55%;;
out/13;54.256,20;86,02;3,66%;-10,99%;-4,93%;;
nov/13;52.482,50;83,21;-3,27%;-13,90%;-8,69%;;
dez/13;51.507,20;81,66;-1,86%;-15,50%;-15,50%;;
jan/14;47.639,00;75,53;-7,51%;-7,51%;-20,28%;-24,47%;
fev/14;47.094,40;74,67;-1,14%;-8,57%;-17,99%;-28,44%;
mar/14;50.414,90;79,93;7,05%;-2,12%;-10,54%;-21,85%;
abr/14;51.626,70;81,85;2,40%;0,23%;-7,66%;-16,49%;
